Type,Zip,School_Name,Address,Size,Student_Teacher_Ratio
Public,63106,ACAD OF ENVT SCI/MATH ELEM,3325 Bell,290,14.5
Public,63104,ACAD OF ENVT SCI/MATH MIDDLE,3021 HICKEY ST,216,15.4
Public,63110,ADAMS ELEM.,1311 TOWER GROVE AVE,305,13.3
Public,63107,AMES VISUAL/PERF. ARTS,2900 HADLEY,402,14.8
Public,63115,ASHLAND ELEM. AND BR.,3921 N NEWSTEAD,334,13.9
Public,63107,BEAUMONT CTE HIGH SCHOOL,3836 NATURAL BRIDGE AVE,456,12.2
Public,63113,BRYAN HILL ELEM.,4342 ALDINE,187,12.9
Public,63109,BUDER ELEM.,5319 LANSDOWNE AVE,415,13.3
Public,63109,BUSCH MS CHARACTER ATHLETICS,5910 CLIFTON AVE,346,17.3
Public,63118,CARNAHAN SCH. OF THE FUTURE,4041 S BROADWAY,383,14.7
Charter,63111,CARONDELET LEADERSHIP ACADEMY,7604 Michigan Avenue,438,14.1
Public,63106,CARR LANE VPA MIDDLE,1004 N JEFFERSON AVE,563,16
Public,63139,CENTRAL VISUAL/PERF. ARTS HIGH,3125 S KINGSHIGHWAY BLVD,408,14
Charter,63110,CITY GARDEN MONTESSORI SCHOOL,1618 TOWER GROVE AVE,221,15.8
Public,63107,CLAY ELEM.,3820 N 14TH ST,151,10.1
Public,63139,CLEVELAND NJROTC ACADEMY,3125 S Kingshighway,269,11.2
Public,63108,COLE ELEM.,3935 ENRIGHT AVE,399,14.3
Public,63104,COLLEGIATE SCHOOL OF MED/BIO,1547 S. THERESA AV,174,11.6
Public,63106,COLUMBIA ELEM. COMM. ED. CTR.,3120 ST LOUIS AVE,151,11.6
Public,63109,COMMUNITY ACCESS JOB TRAINING,4915 DONOVAN AVE,143,7.9
Public,63110,COMPTON-DREW ILC MIDDLE,5130 OAKLAND AVE,481,14.6
Charter,63103,CONFLUENCE PREPARATORY ACADEMY,310 NORTH 15 STREET,626,13.3
Private,63112,CROSSROADS COLLEGE PREPARATORY SCHOOL,500 DE BALIVIERE AVE,223,10
Private,63108,DEPT OF SPECIAL EDUCATION,4445 LINDELL BLVD,70,4.96
Public,63104,DEWEY SCH.-INTERNAT'L. STUDIES,815 ANN AVE,438,15.4
Public,63106,DUNBAR AND BR.,1415 N GARRISON AVE,199,11.4
Charter,63104,EAGLE FOX PARK,2617 SHENANDOAH AVE.,144,12
Charter,63116,EAGLE TOWER GROVE SOUTH,3716 MORGANFORD RD.,186,15.1
Public,63147,EARL NANCE SR. ELEM.,8959 RIVERVIEW BLVD,318,14.5
Public,63106,ELIAS MICHAEL ELEM.,2 GATEWAY DR,61,7.2
Public,63116,FANNING MIDDLE COMMUNITY ED.,3417 GRACE AVE,356,17
Public,63107,FARRAGUT ELEM.,4025 SULLIVAN AVE,165,13.8
Public,63112,FORD-FORD BR. ELEM. COMM. ED.,1383 CLARA AVE,267,13.4
Public,63118,FROEBEL ELEM.,3709 NEBRASKA AVE,290,14.5
Public,63106,GATEWAY ELEM.,4 GATEWAY DR,561,14.9
Public,63110,GATEWAY HIGH,5101 MCREE AVE,1148,12.2
